bloque,tratamiento,num_goroutines,replica,tiempo_ms,num_nodos,num_enlaces,memoria_mb
grande,concurrente,8,1,199.42,500000,5997831,139.11
grande,concurrente,2,2,256.30,500000,5997831,157.13
grande,concurrente,16,3,204.24,500000,5997831,175.14
grande,concurrente,16,1,204.15,500000,5997831,193.21
grande,concurrente,4,2,226.22,500000,5997831,211.21
grande,concurrente,2,3,256.10,500000,5997831,229.18
grande,concurrente,4,1,243.52,500000,5997831,247.17
grande,secuencial,1,2,340.27,500000,5997831,265.16
grande,concurrente,2,1,272.47,500000,5997831,283.16
grande,concurrente,8,3,229.26,500000,5997831,301.15
grande,concurrente,8,2,229.74,500000,5997831,319.14
grande,concurrente,4,3,248.77,500000,5997831,337.13
grande,concurrente,16,2,235.36,500000,5997831,355.12
grande,secuencial,1,3,429.04,500000,5997831,373.08
grande,secuencial,1,1,352.57,500000,5997831,391.06
mediano,concurrente,4,1,23.74,100000,1049138,393.32
mediano,concurrente,2,2,30.95,100000,1049138,395.57
mediano,concurrente,2,3,43.69,100000,1049138,397.83
mediano,concurrente,8,2,30.42,100000,1049138,400.09
mediano,concurrente,8,1,29.40,100000,1049138,402.35
mediano,concurrente,16,3,24.48,100000,1049138,404.62
mediano,secuencial,1,2,36.53,100000,1049138,406.88
mediano,concurrente,16,1,22.23,100000,1049138,409.14
mediano,concurrente,8,3,26.26,100000,1049138,411.40
mediano,concurrente,2,1,41.27,100000,1049138,413.65
mediano,secuencial,1,3,36.61,100000,1049138,415.91
mediano,secuencial,1,1,30.50,100000,1049138,418.16
mediano,concurrente,16,2,28.17,100000,1049138,420.42
mediano,concurrente,4,2,31.24,100000,1049138,422.67
mediano,concurrente,4,3,25.85,100000,1049138,424.93
pequeno,concurrente,8,2,4.35,20000,159433,3.16
pequeno,concurrente,16,1,4.05,20000,159433,3.19
pequeno,concurrente,8,3,3.98,20000,159433,3.16
pequeno,secuencial,1,2,3.52,20000,159433,1.72
pequeno,concurrente,4,2,4.25,20000,159433,3.14
pequeno,secuencial,1,1,3.34,20000,159433,1.72
pequeno,concurrente,16,2,3.92,20000,159433,3.19
pequeno,concurrente,4,3,4.07,20000,159433,3.14
pequeno,concurrente,4,1,4.11,20000,159433,3.14
pequeno,concurrente,2,1,4.15,20000,159433,3.13
pequeno,concurrente,2,2,4.14,20000,159433,3.13
pequeno,concurrente,8,1,4.34,20000,159433,3.16
pequeno,concurrente,2,3,4.28,20000,159433,3.13
pequeno,concurrente,16,3,3.89,20000,159433,3.19
pequeno,secuencial,1,3,3.50,20000,159433,1.72
